level,series,comparison,model_a,model_b,horizon,n,origins,mae_a,mae_b,delta_mae_pct_b_vs_a,delta_mae_pct_ci95_lo,delta_mae_pct_ci95_hi,better_by_mae,dm_abs,p_abs,sig_abs,dm_sq,p_sq,sig_sq
endpoint,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,1,47,47,0.520191394562417,0.548837315336186,5.506804048126511,-10.98585843461733,25.31397246799519,chronos2_C0,-0.6327847839986217,0.5300074403258785,ns,0.27970473770894383,0.7809579427919849,ns
endpoint,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,3,45,45,1.0943259914822048,1.06960026312934,-2.2594481484786035,-13.3754085079126,7.745974525754783,chronos2_C1_inst,0.2963078810557379,0.7683890856156982,ns,-0.49160769282906724,0.6254402973315876,ns
endpoint,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,6,42,42,1.7755588364374066,1.8642675403413314,4.9961004999369925,-4.0564550311089596,14.172564592313405,chronos2_C0,-0.8341050719093278,0.40905534490795215,ns,-1.2125411979876644,0.23224603827614296,ns
endpoint,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,12,36,36,3.0825493079291446,3.2432343546549474,5.21273240666346,-3.405402727835985,15.032441421674685,chronos2_C0,-0.8374075005754819,0.4080455292254843,ns,-0.9945969923393042,0.3267591339355307,ns
path,Spain,Chronos-2 validated context,chronos2_C0,chronos2_C1_validated,1,47,47,0.520191394562417,0.5226040463390927,0.46380078599824304,0.11568840917468454,0.9690568794668423,chronos2_C0,-2.506157684341812,0.01580444867386011,**,-0.9417709567966058,0.3512297556502929,ns
path,Spain,Chronos-2 validated context,chronos2_C0,chronos2_C1_validated,3,135,45,0.817865071162471,0.8214359000064344,0.43660366115012517,0.24524524422157334,0.6849947299710972,chronos2_C0,-4.1411836115916545,6.078664947432852e-05,**,-2.2988507731665835,0.023060727554874354,**
path,Spain,Chronos-2 validated context,chronos2_C0,chronos2_C1_validated,6,252,42,1.2059815097384978,1.209541757869777,0.29521581405100333,0.16437457315810214,0.4504667320044786,chronos2_C0,-3.779199147402449,0.00019660346869245147,**,-2.987884114123948,0.0030876314510308893,**
path,Spain,Chronos-2 validated context,chronos2_C0,chronos2_C1_validated,12,432,36,1.9897638182463468,1.9928021104917937,0.15269612491620177,0.08019494262860125,0.23878002504852966,chronos2_C0,-3.1092116926570674,0.0020002441913045867,**,-2.7192071596796685,0.006808182765920735,**
endpoint,Spain,Chronos-2 validated context,chronos2_C0,chronos2_C1_validated,1,47,47,0.520191394562417,0.5226040463390927,0.46380078599824304,0.11568840917468454,0.9690568794668423,chronos2_C0,-2.506157684341812,0.01580444867386011,**,-0.9417709567966058,0.3512297556502929,ns
endpoint,Spain,Chronos-2 validated context,chronos2_C0,chronos2_C1_validated,3,45,45,1.0943259914822048,1.0980352759535337,0.33895607891985424,0.1792792219185779,0.5554563863997758,chronos2_C0,-2.9179365267476958,0.0055318010092629,**,-2.592920097083197,0.012871333716499187,**
endpoint,Spain,Chronos-2 validated context,chronos2_C0,chronos2_C1_validated,6,42,42,1.7755588364374066,1.7793547385473747,0.21378633205894715,0.10822949710455944,0.3323175948078326,chronos2_C0,-2.631714780431579,0.011918739229043348,**,-1.6613504494868732,0.10427214594103668,ns
endpoint,Spain,Chronos-2 validated context,chronos2_C0,chronos2_C1_validated,12,36,36,3.0825493079291446,3.0863612220985197,0.12366109309492081,0.06543422602310932,0.19973738238998592,chronos2_C0,-1.9587388863380224,0.05814931747336197,*,-0.994838900830687,0.3266431073477222,ns
path,Global,Chronos-2 context,chronos2_C0_global,chronos2_C1_inst_global,1,47,47,0.2519071459150486,0.20044966361038558,-20.42716260300777,-40.62310438115281,7.021318546643772,chronos2_C1_inst_global,1.548928089182626,0.12825226888443075,ns,1.535043650875503,0.13162324111220744,ns
path,Global,Chronos-2 context,chronos2_C0_global,chronos2_C1_inst_global,3,135,45,0.3579775788052144,0.341733177946528,-4.537826338985722,-23.54055250517122,21.04873671814379,chronos2_C1_inst_global,0.3261619634797621,0.7448106435864822,ns,0.23372045642939498,0.815558689004703,ns
path,Global,Chronos-2 context,chronos2_C0_global,chronos2_C1_inst_global,6,252,42,0.6422973933007075,0.5913587983253581,-7.930686860424668,-30.15375975950877,22.017688131737714,chronos2_C1_inst_global,0.4393091481307969,0.6608155113592651,ns,0.5490077847404021,0.5834881608111278,ns
path,Global,Chronos-2 context,chronos2_C0_global,chronos2_C1_inst_global,12,432,36,1.3374642636144916,1.143286435334759,-14.518356382470202,-36.889221734111665,15.858609246064034,chronos2_C1_inst_global,0.7140235273339753,0.47559912376664193,ns,0.6613080234090825,0.5087681546140385,ns
endpoint,Global,Chronos-2 context,chronos2_C0_global,chronos2_C1_inst_global,1,47,47,0.2519071459150486,0.20044966361038558,-20.42716260300777,-40.62310438115281,7.021318546643772,chronos2_C1_inst_global,1.548928089182626,0.12825226888443075,ns,1.535043650875503,0.13162324111220744,ns
endpoint,Global,Chronos-2 context,chronos2_C0_global,chronos2_C1_inst_global,3,45,45,0.48976710130946355,0.4962981128936927,1.333493320961643,-22.234502734751935,35.40759998046808,chronos2_C0_global,-0.051063679466515695,0.9595058946891395,ns,0.04179221505577982,0.9668534140819958,ns
endpoint,Global,Chronos-2 context,chronos2_C0_global,chronos2_C1_inst_global,6,42,42,1.1443136465405372,0.9898391092226058,-13.499317934810563,-38.93890894395375,22.172075274168233,chronos2_C1_inst_global,0.2928313557341231,0.7711280225535816,ns,0.3307929065782722,0.7424855577210252,ns
endpoint,Global,Chronos-2 context,chronos2_C0_global,chronos2_C1_inst_global,12,36,36,2.3131123581580417,1.9697762594013035,-14.843035944442438,-38.344317311952956,15.663288958797574,chronos2_C1_inst_global,0.4212081577487161,0.6761786128082619,ns,0.3141120657408694,0.755300624158104,ns
path,Global,Chronos-2 validated context,chronos2_C0_global,chronos2_C1_validated_global,1,47,47,0.2519071459150486,0.2722821971044227,8.088318064722644,1.3659541425380834,15.907851838227351,chronos2_C0_global,-2.2377829397149895,0.030119550447523936,**,-1.7947138564883414,0.07927185359989634,*
path,Global,Chronos-2 validated context,chronos2_C0_global,chronos2_C1_validated_global,3,135,45,0.3579775788052144,0.35580074689076235,-0.6080916915851131,-3.4669892271242193,2.8685087388494295,chronos2_C1_validated_global,0.3226063162045365,0.7474962197088465,ns,0.9541865893911025,0.34170733519038243,ns
